date,verse_title,phrase_indices,score,matches_woodruff,matches_scriptures,volume_title
"October 20, 1855 ",Luke 2:10,"[(13484, 1199), (13485, 1200)]",0.9555,"""And the Angel said unto them fear not for behold I bring you good tidings of great Joy which shall",And the angel said unto them Fear not for behold I bring you good tidings of great joy which shall be to all people,New Testament
"January 21, 1847 ",Doctrine and Covenants 136:8,"[(17737, 3004), (17738, 3005), (17739, 3006), (17740, 3007), (17741, 3008)]",0.95441,Let each company bear an equal proportion according to the dividend of their property in taking the poor the widows the fatherless and the families of those who have gone into the armey that the cries of the widow and the Fatherless come not up into the ears of the,Let each company bear an equal proportion according to the dividend of their property in taking the poor the widows the fatherless and the families of those who have gone into the army that the cries of the widow and the fatherless come not up into the ears of the Lord against this people,Doctrine and Covenants
"April 30, 1843 ",Doctrine and Covenants 68:25,"[(8454, 2504)]",0.95033,gift of the Holy Ghost by the laying on of,and the gift of the Holy Ghost by the laying,Doctrine and Covenants
"October 7, 1856 ",2 Nephi 28:26,"[(12128, 1627)]",0.94182,power of God and the gift of the Holy Ghost,of men and denieth the power of God and the gift of the Holy Ghost!,Book of Mormon
"January 21, 1847 ",Doctrine and Covenants 136:10,"[(17747, 3010), (17748, 3011), (17749, 3012), (17750, 3013)]",0.93277,where the Lord shall locate a stake of Zion And if ye do this with a pure heart in all faithfulness ye shall be blessed you shall be blessed in your flocks and in your herds and in your fields,remove this people to the place where the Lord shall locate a stake of Zion And if ye do this with a pure heart in all faithfulness ye shall be blessed you shall be blessed in your flocks and in your herds and in your fields and in your houses and in your families,Doctrine and Covenants
"December 20, 1840 ",Joseph Smith--History 1:1,"[(3756, 3190)]",0.93111,of the rise and progress of the Church of Jesus,rise and progress of The Church of Jesus Christ of,Pearl of Great Price
"January 21, 1847 ",Doctrine and Covenants 136:17,"[(17760, 3019), (17761, 3020), (17762, 3021)]",0.92942,way and do as I have told you and fear not thine enemies for they shall not have power to stop my work Zion shall be redeemed in mine own,Go thy way and do as I have told you and fear not thine enemies for they shall not have power to stop my work Zion shall be redeemed in mine own due time,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:36,"[(17806, 3047), (17807, 3048), (17808, 3049)]",0.92899,they killed the prophets and they that were sent unto them and they have shed innocent blood which crieth from the ground against them Therefore marvel not at these things,For they killed the prophets and them that were sent unto them and they have shed innocent blood which crieth from the ground against them Therefore marvel not at these things for ye are not,Doctrine and Covenants
"December 31, 1840 ",1 Nephi 13:37,"[(3011, 1495)]",0.92768,the gift of the Holy Ghost ^and power^ of the,gift and the power of the Holy Ghost and if,Book of Mormon
"March 27, 1842 ",Moses 7:11,"[(8526, 3131)]",0.91999,baptize a man in the Name of the Father of,baptize in the name of the Father and of the,Pearl of Great Price
"April 8, 1844 ",Ezekiel 44:5,"[(932, 988)]",0.91732,all the ordinances of the house of the Lord so,ordinances of the house of the Lord and all the,Old Testament
"September 9, 1843 ",Isaiah 60:17,"[(2037, 821)]",0.9171,then for brass the Lord will bring gold for Iron,For brass I will bring gold and for iron I,Old Testament
"April 7, 1836 ",2 Corinthians 11:29,"[(10720, 1323)]",0.91555,is weak and I am not weak Who is offended,Who is weak and I am not weak who is offended and I burn not,New Testament
"December 31, 1840 ",2 Nephi 28:26,"[(3011, 1627)]",0.91245,the gift of the Holy Ghost ^and power^ of the,of men and denieth the power of God and the gift of the Holy Ghost!,Book of Mormon
"February 23, 1848 ",Moses 7:47,"[(25449, 3137)]",0.91045,Lamb slain from before the foundation of the world to,Lamb is slain from the foundation of the world and,Pearl of Great Price
"September 5, 1841 ",Doctrine and Covenants 135:6,"[(10350, 2982)]",0.90825,Bible Book of Mormon and book of Doctrine and Covenants,Book of Mormon and this book of Doctrine and Covenants,Doctrine and Covenants
"July 18, 1845 ",2 Nephi 19:6,"[(7186, 1580)]",0.90663,a son for unto us a child is born unto,For unto us a child is born unto us a,Book of Mormon
"July 18, 1845 ",Isaiah 9:6,"[(7186, 740)]",0.90663,a son for unto us a child is born unto,For unto us a child is born unto us a,Old Testament
"February 12, 1841 ",Revelation 18:5,"[(3925, 1425)]",0.90424,reached unto heaven and God hath remembered her iniquities and,For her sins have reached unto heaven and God hath remembered her iniquities,New Testament
"January 21, 1847 ",Doctrine and Covenants 136:41,"[(17825, 3062), (17826, 3063), (17827, 3064), (17828, 3065)]",0.90422,and ye Elders listen together you have received my kingdom be diligent in keeping all my commandments lest judgment come upon you and your faith fail you and your enemies triumph over you So no more at present Amen and Amen,Now therefore hearken O ye people of my church and ye elders listen together you have received my kingdom Be diligent in keeping all my commandments lest judgments come upon you and your faith fail you and your enemies triumph over you So no more at present Amen and Amen,Doctrine and Covenants
"April 30, 1846 ",Psalms 22:1,"[(17106, 695)]",0.90286,God my God why hast thou forsaken me In three,My God my God why hast thou forsaken me why,Old Testament
"March 10, 1844 ",Doctrine and Covenants 98:16,"[(8743, 2644)]",0.89609,hearts of the Fathers to the Children and the hearts,turn the hearts of the children to their fathers and the hearts of the fathers to the children,Doctrine and Covenants
"October 7, 1856 ",1 Nephi 13:37,"[(12128, 1495)]",0.89434,power of God and the gift of the Holy Ghost,gift and the power of the Holy Ghost and if,Book of Mormon
"March 10, 1844 ",Acts 3:19,"[(8845, 1271), (8846, 1272)]",0.89141,said repent therefore and be converted that your sins may be blotted out when the times of refreshing shall come,Repent ye therefore and be converted that your sins may be blotted out when the times of refreshing shall come from the presence of the Lord,New Testament
"January 21, 1847 ",Doctrine and Covenants 136:15,"[(17756, 3016), (17757, 3017)]",0.89001,Captains of hundreds and of fifties and of tens And let my servants that have been appointed go and teach,And appoint presidents and captains of hundreds and of fifties and of tens And let my servants that have been appointed go and,Doctrine and Covenants
"July 2, 1840 ",Joseph Smith--History 1:70,"[(7597, 3283)]",0.88963,the gift of the Holy Ghost by the laying on,laying on hands for the gift of the Holy Ghost,Pearl of Great Price
"April 16, 1847 ",Doctrine and Covenants 136:3,"[(21856, 2996)]",0.88865,4 Captains of fifties and Captains of tens I was,of fifties and captains of tens with a president and,Doctrine and Covenants
"November 11, 1855 ",3 Nephi 13:10,"[(13060, 2070)]",0.88852,and thy will be done on Earth as it is,Thy will be done on earth as it is in heaven,Book of Mormon
"September 13, 1846 ",Isaiah 28:13,"[(17445, 778), (17446, 779)]",0.88747,an Apostle said we have precept upon precept line upon line here a little and there a little until we,upon precept precept upon precept line upon line line upon line here a little and there a little that they,Old Testament
"February 7, 1869 ",Hebrews 12:1,"[(16693, 1363)]",0.88618,sin which doth so Easily beset us and rum for,and the sin which doth so easily beset us and,New Testament
"April 30, 1843 ",Joseph Smith--History 1:70,"[(8454, 3283)]",0.88537,gift of the Holy Ghost by the laying on of,laying on hands for the gift of the Holy Ghost,Pearl of Great Price
"September 13, 1846 ",Isaiah 28:10,"[(17445, 775), (17446, 776)]",0.8839,an Apostle said we have precept upon precept line upon line here a little and there a little until we,For precept must be upon precept precept upon precept line upon line line upon line here a little and there a little,Old Testament
"January 22, 1843 ",Doctrine and Covenants 128:10,"[(6039, 2845), (6040, 2846)]",0.88382,this rock I will build my Church and the gates of hell shall not prevail against it what rock Revelation,this rock I will build my church and the gates of hell shall not prevail against it And I will,Doctrine and Covenants
"February 12, 1853 ",Ecclesiastes 7:2,"[(23314, 721), (23315, 722)]",0.88295,to the House of feasting for that is the end of all men and the living will lay it to,than to go to the house of feasting for that is the end of all men and the living will lay it to his heart,Old Testament
"June 11, 1843 ",Doctrine and Covenants 43:24,"[(9594, 2380)]",0.88273,hen gathereth her chickens under wings But ye would not,have gathered you together as a hen gathereth her chickens under her wings but ye would not!,Doctrine and Covenants
"August 20, 1843 ",Mosiah 26:13,"[(6720, 1797)]",0.8789,inquired of the Lord what he should do and the,he went and inquired of the Lord what he should,Book of Mormon
"April 9, 1852 ",Doctrine and Covenants 128:18,"[(21749, 2875)]",0.8755,they without us could not be made perfect Neither can,neither can they without us be made perfect Neither can,Doctrine and Covenants
"February 20, 1845 ",Hebrews 4:9,"[(6398, 1352)]",0.87527,"words ""There remaineth therefore a rest for the people of",There remaineth therefore a rest to the people of God,New Testament
"December 31, 1840 ",Psalms 84:10,"[(3003, 708)]",0.87217,than to dwell in the tents of wickedness I felt,of my God than to dwell in the tents of wickedness,Old Testament
"January 21, 1847 ",2 Kings 6:17,"[(17797, 431)]",0.872,his eyes may be opened that he may see and,his eyes that he may see And the Lord opened,Old Testament
"December 20, 1850 ",Deuteronomy 33:17,"[(19455, 254)]",0.87075,push the people together to the Ends of the Earth,he shall push the people together to the ends of,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:3,"[(17756, 2996)]",0.86655,Captains of hundreds and of fifties and of tens And,of fifties and captains of tens with a president and,Doctrine and Covenants
"October 19, 1851 ",Genesis 2:9,"[(20512, 3)]",0.86416,knowledge of good Evil in the midst of the garden,midst of the garden and the tree of knowledge of good and evil,Old Testament
"March 10, 1844 ",Joseph Smith--History 1:39,"[(8743, 3233)]",0.86353,hearts of the Fathers to the Children and the hearts,to the fathers and the hearts of the children shall,Pearl of Great Price
"January 21, 1847 ",Doctrine and Covenants 136:12,"[(17752, 3014)]",0.86246,servants Ezra Taft Benson and Erastus Snow organize a company,Let my servants Ezra T Benson and Erastus Snow organize a company,Doctrine and Covenants
"April 27, 1839 ",Mormon 8:7,"[(5475, 2127)]",0.86114,driven from city to city and from place to place,down from city to city and from place to place,Book of Mormon
"August 20, 1843 ",Revelation 16:6,"[(6681, 1423)]",0.86064,they had shed the Blood of Prophets and Saints Their,For they have shed the blood of saints and prophets,New Testament
"February 2, 1838 ",2 Kings 2:23,"[(5154, 427)]",0.85997,when they said go up thou bald head As with,said unto him Go up thou bald head go up thou bald head,Old Testament
"January 21, 1847 ",Doctrine and Covenants 136:23,"[(17775, 3026)]",0.85708,another Cease to speak evil one of another Cease drunkenness,Cease to contend one with another cease to speak evil one of another,Doctrine and Covenants
"January 13, 1856 ",Doctrine and Covenants 128:17,"[(12519, 2863), (12520, 2864), (12521, 2865)]",0.85427,"verses ""Behold I will send you Elijah the prophet before the coming of the great and Dreadful day of the Lord"" ""And He shall turn the Hearts of the Fathers",I will send you Elijah the prophet before the coming of the great and dreadful day of the Lord And he shall turn the heart of the fathers to the,Doctrine and Covenants
"December 31, 1837 ",1 Nephi 1:14,"[(2365, 1447)]",0.85363,"and marvelous are thy works ""O LORD GOD ALMIGHTY"" when",marvelous are thy works O Lord God Almighty! Thy throne,Book of Mormon
"February 15, 1849 ",2 Nephi 28:26,"[(17948, 1627)]",0.85352,the power of God And the gift of the Holy,of men and denieth the power of God and the gift of the Holy Ghost!,Book of Mormon
"January 21, 1847 ",Doctrine and Covenants 136:1,"[(17718, 2991)]",0.85208,the Lord concerning the camp of Israel In their journeyings,The Word and Will of the Lord concerning the Camp of Israel in their journeyings to the West,Doctrine and Covenants
"January 21, 1847 ",Exodus 6:13,"[(17772, 76)]",0.85153,the children of Israel out of the Land of Egypt,unto Pharaoh king of Egypt to bring the children of Israel out of the land of Egypt,Old Testament
"October 19, 1851 ",Moses 3:9,"[(20512, 3090)]",0.85092,knowledge of good Evil in the midst of the garden,in the midst of the garden and also the tree of knowledge of good and evil,Pearl of Great Price
"April 15, 1837 ",Helaman 3:28,"[(957, 2000)]",0.85015,in the name of JESUS CHRIST the Son of the,the name of Jesus Christ who is the Son of God,Book of Mormon
"December 20, 1850 ",Helaman 3:28,"[(19403, 2000)]",0.85015,in the name of Jesus Christ the Son of the,the name of Jesus Christ who is the Son of God,Book of Mormon
"January 20, 1872 ",Doctrine and Covenants 29:45,"[(15629, 2342)]",0.84833,men love darkness rather than light because their deeds are,For they love darkness rather than light and their deeds,Doctrine and Covenants
"December 12, 1855 ",Doctrine and Covenants 72:3,"[(13126, 2514)]",0.84523,hand of God is it required at the hand of,it is required of the Lord at the hand of,Doctrine and Covenants
"December 31, 1840 ",Moses 7:65,"[(2728, 3151)]",0.84496,the Coming of the Son of Man What are the,of the coming of the Son of Man in the,Pearl of Great Price
"December 16, 1855 ",1 Chronicles 29:11,"[(13349, 545)]",0.84414,on Earth and in heaven that is good that is,that is in the heaven and in the earth is,Old Testament
"December 31, 1849 ",Doctrine and Covenants 130:12,"[(18888, 2898)]",0.84209,has And I Prophesy in the name of the Lord,I prophesy in the name of the Lord God that,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:33,"[(17800, 3045), (17801, 3046)]",0.83975,and contrite and to the condemnation of the ungodly Thy brethren have rejected you and your testimony even the Nation,enlighten the humble and contrite and to the condemnation of the ungodly Thy brethren have rejected you and your testimony even the nation that has driven you out,Doctrine and Covenants
"October 5, 1856 ",Jacob 6:8,"[(11966, 1691)]",0.83919,of the spirit and power of God and the Gift,Christ and the power of God and the gift of,Book of Mormon
"October 21, 1855 ",Doctrine and Covenants 38:39,"[(12916, 2367)]",0.83699,to beware of pride lest we become like the Nephites,beware of pride lest ye become as the Nephites of old,Doctrine and Covenants
"January 24, 1868 ",Acts 20:7,"[(16579, 1284)]",0.83565,that is the first day of the week when I,And upon the first day of the week when the,New Testament
"March 10, 1844 ",Doctrine and Covenants 98:16,"[(8739, 2644)]",0.83548,fathers unto the Children and the hearts of the children,turn the hearts of the children to their fathers and the hearts of the fathers to the children,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:39,"[(17821, 3060)]",0.83332,blood that he might be honored and the wicked might,that he might be honored and the wicked might be condemned,Doctrine and Covenants
"November 21, 1847 ",Doctrine and Covenants 133:56,"[(25224, 2934)]",0.83329,that the graves of the Saints would be opened and,And the graves of the saints shall be opened and,Doctrine and Covenants
"August 8, 1844 ",2 Corinthians 5:7,"[(6813, 1316)]",0.83285,to walk by faith not by sight for always before,For we walk by faith not by sight,New Testament
"September 27, 1838 ",2 Corinthians 5:7,"[(10741, 1316)]",0.83068,as we must walk by faith not by sight until,For we walk by faith not by sight,New Testament
"January 21, 1847 ",2 Nephi 25:20,"[(17772, 1602)]",0.83021,the children of Israel out of the Land of Egypt,Israel up out of the land of Egypt and gave,Book of Mormon
"January 21, 1847 ",Exodus 3:15,"[(17770, 67)]",0.82966,the God of your Fathers the God of Abraham and,fathers the God of Abraham the God of Isaac and,Old Testament
"March 29, 1838 ",Luke 11:29,"[(4017, 1208)]",0.82936,that there should no sign be given but the sign,sign and there shall no sign be given it but the sign of Jonas the prophet,New Testament
"April 15, 1837 ",Moses 8:24,"[(957, 3154)]",0.82904,in the name of JESUS CHRIST the Son of the,the name of Jesus Christ the Son of God even,Pearl of Great Price
"December 20, 1850 ",Moses 8:24,"[(19403, 3154)]",0.82904,in the name of Jesus Christ the Son of the,the name of Jesus Christ the Son of God even,Pearl of Great Price
"December 19, 1841 ",Hebrews 12:6,"[(11183, 1365)]",0.82689,whom the Lord loveth he chasteneth and scourgeth evry son,For whom the Lord loveth he chasteneth and scourgeth every son whom he receiveth,New Testament
"December 31, 1836 ",Deuteronomy 1:3,"[(169, 215)]",0.82642,day of the first month of the Eleventh year of,the eleventh month on the first day of the month,Old Testament
"September 13, 1846 ",Doctrine and Covenants 128:21,"[(17445, 2896)]",0.82553,an Apostle said we have precept upon precept line upon,line precept upon precept here a little and there a,Doctrine and Covenants
"February 14, 1853 ",Ezekiel 44:5,"[(23431, 988)]",0.8246,attend to the ordinances of the House of the Lord,ordinances of the house of the Lord and all the,Old Testament
"September 21, 1840 ",1 Nephi 4:34,"[(2288, 1463)]",0.82435,diligent in keeping all of the commandments of God and,not be diligent in keeping the commandments of the Lord,Book of Mormon
"September 7, 1851 ",Doctrine and Covenants 68:9,"[(20106, 2492)]",0.82429,great a Prophet and he that believeth it may be saved and he that believeth it not will be damned,And he that believeth and is baptized shall be saved and he that believeth not shall be damned,Doctrine and Covenants
"December 31, 1867 ",Moses 7:65,"[(16497, 3151)]",0.82271,of the Second Coming of the Son of Man are,of the coming of the Son of Man in the,Pearl of Great Price
"June 10, 1845 ",1 Chronicles 6:58,"[(9916, 484)]",0.82269,with her I walked with her on her return home,And Hilen with her suburbs Debir with her suburbs,Old Testament
"December 20, 1850 ",Doctrine and Covenants 58:45,"[(19455, 2452)]",0.8212,push the people together to the Ends of the Earth,For behold they shall push the people together from the ends of the earth,Doctrine and Covenants
"January 4, 1852 ",Doctrine and Covenants 64:10,"[(20965, 2475)]",0.82103,cannot if the Lord will forgive you I will forgive,I the Lord will forgive whom I will forgive but of you it is required to forgive all men,Doctrine and Covenants
"February 2, 1851 ",Doctrine and Covenants 89:20,"[(19600, 2621)]",0.82038,would walk and not be weary run and not faint,And shall run and not be weary and shall walk and not faint,Doctrine and Covenants
"April 15, 1837 ",Luke 8:10,"[(990, 1203)]",0.82017,all the mysteries of the kingdom of God and the,the mysteries of the kingdom of God but to others,New Testament
"October 7, 1867 ",Doctrine and Covenants 135:6,"[(16319, 2982)]",0.82014,the Bible Book of Mormon and Doctrine and Covenants and,Book of Mormon and this book of Doctrine and Covenants,Doctrine and Covenants
"January 13, 1856 ",Deuteronomy 32:30,"[(12584, 250)]",0.82001,one chase a thousand and two put ten thousand to,How should one chase a thousand and two put ten,Old Testament
"April 19, 1847 ",Daniel 12:5,"[(21891, 1025)]",0.82,of the bank of the river the river on one,river and the other on that side of the bank of the river,Old Testament
"January 13, 1856 ",Doctrine and Covenants 138:48,"[(12557, 3068)]",0.81904,work be done it will be done in Temples in,Foreshadowing the great work to be done in the temples,Doctrine and Covenants
"June 11, 1843 ",3 Nephi 10:5,"[(9594, 2040)]",0.81798,hen gathereth her chickens under wings But ye would not,a hen gathereth her chickens under her wings yea O,Book of Mormon
"December 19, 1841 ",Jeremiah 3:14,"[(11345, 837)]",0.81781,two of a family and bring them to Zion and,a city and two of a family and I will bring you to Zion,Old Testament
"June 11, 1843 ",Revelation 19:10,"[(9692, 1435)]",0.81736,the testimony of Jesus is the spirit of Prophecy so,testimony of Jesus worship God for the testimony of Jesus is the spirit of prophecy,New Testament
"August 20, 1843 ",Revelation 2:27,"[(6751, 1398)]",0.817,the Nations and he shall rule them with a rod,And he shall rule them with a rod of iron,New Testament
"September 7, 1851 ",Mormon 9:23,"[(20106, 2130)]",0.81676,great a Prophet and he that believeth it may be saved and he that believeth it not will be damned,And he that believeth and is baptized shall be saved but he that believeth not shall be damned,Book of Mormon
"September 10, 1843 ",Revelation 18:7,"[(11581, 1428)]",0.81585,sit as a queen am no widow and shall see,her heart I sit a queen and am no widow and shall see no sorrow,New Testament
"June 11, 1843 ",Matthew 23:37,"[(9594, 1162)]",0.81574,hen gathereth her chickens under wings But ye would not,have gathered thy children together even as a hen gathereth her chickens under her wings and ye would not!,New Testament
"January 21, 1847 ",Exodus 7:4,"[(17772, 81)]",0.81555,the children of Israel out of the Land of Egypt,and my people the children of Israel out of the land of Egypt by great judgments,Old Testament
"September 7, 1851 ",Mark 16:16,"[(20106, 1190)]",0.8138,great a Prophet and he that believeth it may be saved and he that believeth it not will be damned,He that believeth and is baptized shall be saved but he that believeth not shall be damned,New Testament
"September 10, 1843 ",Acts 2:17,"[(11544, 1261)]",0.8133,it should come to pass in the last days that,And it shall come to pass in the last days,New Testament
"September 10, 1843 ",Isaiah 2:2,"[(11544, 726)]",0.8133,it should come to pass in the last days that,And it shall come to pass in the last days,Old Testament
"September 10, 1843 ",2 Nephi 12:2,"[(11544, 1565)]",0.8133,it should come to pass in the last days that,And it shall come to pass in the last days,Book of Mormon
"March 10, 1844 ",Hebrews 6:5,"[(8813, 1359)]",0.81251,of God and tasted of the powers of the world,And have tasted the good word of God and the powers of the world to come,New Testament
"April 4, 1837 ",Abraham 1:17,"[(4810, 3168)]",0.81177,of the power of God and spirit of God and,of Libnah and the god of Mahmackrah and the god,Pearl of Great Price
"August 23, 1844 ",Doctrine and Covenants 113:6,"[(1600, 2740)]",0.8117,the Holy Priesthood and the [] [keys] of the kingdom,the priesthood and the keys of the kingdom for an,Doctrine and Covenants
"January 21, 1847 ",Doctrine and Covenants 136:37,"[(17812, 3053)]",0.8115,given you from the days of Abraham Adam to Abraham,days of Adam to Abraham from Abraham to Moses from,Doctrine and Covenants
"October 21, 1855 ",Doctrine and Covenants 49:24,"[(12872, 2433)]",0.8107,things Jacob shall flourish in the wilderness the Lamanites shall,Jacob shall flourish in the wilderness and the Lamanites shall blossom as the rose,Doctrine and Covenants
"February 2, 1851 ",Isaiah 40:31,"[(19600, 810)]",0.81043,would walk and not be weary run and not faint,shall run and not be weary and they shall walk and not faint,Old Testament
"January 1, 1853 ",Moses 7:65,"[(23147, 3151)]",0.8104,coming of the son of man He said the Twelve,of the coming of the Son of Man in the,Pearl of Great Price
"July 1, 1838 ",Job 19:25,"[(8081, 685)]",0.81032,the EARTH For I know that my Redeemer liveth and,For I know that my redeemer liveth and that he shall stand at the latter day upon the earth,Old Testament
"March 10, 1844 ",Joseph Smith--History 1:39,"[(8739, 3233)]",0.80793,fathers unto the Children and the hearts of the children,to the fathers and the hearts of the children shall,Pearl of Great Price
"December 19, 1841 ",Doctrine and Covenants 124:32,"[(11364, 2776)]",0.8078,shall be rejected as a Church with your dead saith,the appointment ye shall be rejected as a church with your dead saith the Lord your God,Doctrine and Covenants
"March 10, 1844 ",Doctrine and Covenants 2:2,"[(8752, 2236)]",0.80767,turn the hearts of the Fathers to the children and,the promises made to the fathers and the hearts of the children shall turn to their fathers,Doctrine and Covenants
"January 21, 1844 ",Doctrine and Covenants 2:2,"[(10708, 2236)]",0.80767,turn the hearts of the fathers to the children and,the promises made to the fathers and the hearts of the children shall turn to their fathers,Doctrine and Covenants
"March 4, 1849 ",1 Corinthians 12:27,"[(18066, 1306)]",0.80762,of the body of Christ And members in particular I,Now ye are the body of Christ and members in particular,New Testament
"July 25, 1845 ",Doctrine and Covenants 113:6,"[(16730, 2740)]",0.80736,of the Holy Priesthood and the keys of the Kingdom,the priesthood and the keys of the kingdom for an,Doctrine and Covenants
"January 13, 1856 ",Nehemiah 7:45,"[(12522, 637)]",0.80697,to the children and the hearts of the children to,the children of Talmon the children of Akkub the children,Old Testament
"March 10, 1844 ",Doctrine and Covenants 110:15,"[(8743, 2718)]",0.80678,hearts of the Fathers to the Children and the hearts,To turn the hearts of the fathers to the children,Doctrine and Covenants
January 19 1840 ,Moses 7:65,"[(5810, 3151)]",0.80677,the coming of the Son of Man and may thy,of the coming of the Son of Man in the,Pearl of Great Price
"December 16, 1849 ",Numbers 27:23,"[(18677, 202)]",0.80665,I laid hands upon him and prayed for him He,And he laid his hands upon him and gave him,Old Testament
"March 10, 1844 ",Doctrine and Covenants 27:9,"[(8739, 2335)]",0.80504,fathers unto the Children and the hearts of the children,to the children and the hearts of the children to,Doctrine and Covenants
"January 9, 1870 ",Daniel 6:12,"[(15166, 1018)]",0.80496,He should be cast into the den of Lions But,shall be cast into the den of lions The king,Old Testament
"October 2, 1856 ",Mosiah 2:31,"[(11932, 1724)]",0.80482,shall have power over your Enemies and you shall not,in the land and your enemies shall have no power over you,Book of Mormon
"April 6, 1837 ",Doctrine and Covenants 55:1,"[(5092, 2446)]",0.80437,the laying on of hands for the reception of the,and a reception of the Holy Spirit by the laying on of hands,Doctrine and Covenants
"March 10, 1844 ",Doctrine and Covenants 55:2,"[(8662, 2449)]",0.80341,preach repentance and Baptism for the remission of sins and,this church to preach repentance and remission of sins by,Doctrine and Covenants
"September 21, 1840 ",Alma 37:20,"[(2288, 1959)]",0.80303,diligent in keeping all of the commandments of God and,diligent in keeping the commandments of God as they are written,Book of Mormon
"July 2, 1840 ",Mark 1:4,"[(7596, 1172)]",0.80297,Preach the Baptism of repentance for remission of Sins and,John did baptize in the wilderness and preach the baptism of repentance for the remission of sins,New Testament
"July 2, 1840 ",Doctrine and Covenants 55:2,"[(7596, 2449)]",0.80269,Preach the Baptism of repentance for remission of Sins and,this church to preach repentance and remission of sins by,Doctrine and Covenants
"February 15, 1849 ",Jacob 6:8,"[(17948, 1691)]",0.80249,the power of God And the gift of the Holy,Christ and the power of God and the gift of,Book of Mormon
"September 10, 1843 ",Ephesians 2:20,"[(11438, 1332)]",0.8023,Apostles and Prophets Christ Jesus Being the chief corner stone,And are built upon the foundation of the apostles and prophets Jesus Christ himself being the chief corner stone,New Testament
"December 31, 1840 ",1 Corinthians 13:2,"[(3507, 1309)]",0.80213,"read ""Though I have the gift of prophecy"" and He",And though I have the gift of prophecy and understand,New Testament
"February 27, 1853 ",Revelation 2:27,"[(23670, 1398)]",0.80165,them power to rule with a rod of Iron Some,And he shall rule them with a rod of iron,New Testament
"January 13, 1856 ",Nehemiah 7:46,"[(12522, 639)]",0.80156,to the children and the hearts of the children to,The Nethinims the children of Ziha the children of Hashupha the children of Tabbaoth,Old Testament
"January 13, 1856 ",Ezra 2:43,"[(12522, 595)]",0.80156,to the children and the hearts of the children to,The Nethinims the children of Ziha the children of Hasupha the children of Tabbaoth,Old Testament
"February 16, 1853 ",2 Timothy 3:12,"[(23601, 1349)]",0.80151,live godly in Christ Jesus ye shall suffer persecution this,Yea and all that will live godly in Christ Jesus shall suffer persecution,New Testament
"January 4, 1852 ",Alma 30:42,"[(20983, 1936)]",0.80118,you give the devil power ^over^ you and in the,you but the devil has power over you and he,Book of Mormon
